"school_id"|"name"|"address"|"country"|"city"|"county"|"postcode"|"tel"|"fax"|"website"|"email"|"schooltype"|"si"|"sp"|"ra"|"pupilno"|"boarderno"|"boarderage"|"lastupdate"|"staffid"|"remarks"|"lat"|"lng"|"childvisaage"|"case"|"case"|"case"|"loginname"|"loginpassword"|"keyword"
383|"Quest Guardians"|"Alexander House, 2 Acorn Business Park"|"UK"|"Ling Road"|"Poole, Dorset"|"BH12 4NZ"|"44 12 0288 2299 (44 75 4550 2255-emerg.out of hrs)"|"44 12 0274 1668"|"www.questguardians.co.uk/"|"office@questguardians.co.uk"|"Co-Ed"|""|""|""|0|0|""|"20170720130804"|"AA00032"|"The guardianship rates for Academic Year 2013/2014 have not quite yet been finalised, however Chris has approved that any new applications that we receive for the next Academic Year, i.e. September 2013 onwards, can be charged at this academic year 2012/2013 rates. The proviso incentive for this gesture is that full payment must have reached us before the 31/01/2013, whereby after which the new guardianship rates will become applicable. Once these rates have been finalised, Chris will be advising you accordingly. Any outstanding payment requests at the 2012/2013 guardianship rates that have not been paid by the 31st January 2013 will have to be reissued at that point to reflect the new guardianship charges. [30 Nov 2012]
 
GBP930 will be the price for every year for our (Academic Asia) students [30 Jan 2012]"|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
209|"Guildford College Group"|"Stoke Park Campus, Stoke Road"|"UK"|"Guildford"|"Surrey"|"GU1 1EZ"|""|""|"www.guildford.ac.uk"|""|"Co-Ed"|"Further Education College"|"All"|""|0|0|"Host family only (16-18)"|"20200226151812"|"AA00078"|"merged with Merrist Wood College and Farnham Sixth Form College Merrist Wood College Faculty - Animal Management, Public Services & Sports Studies), Worplesdon, Guildford, Surrey, GU3 3PE"|0|0|17|"Y"|"Y"|"Y"|""|"***********************"|""
176|"Farleigh School"|"Red Rice"|"UK"|"Andover"|"Hampshire"|"SP11 7PW"|""|""|"www.farleighschool.com"|"office@farleighschool.co.uk"|"Co-Ed"|"Independent School"|"Prep"|"Roman Catholic"|450|95|"7-13 (3-13)"|"20200222183359"|"AA00078"|""|0|0|17|"Y"|"Y"|"N"|""|"***********************"|"rural, football, Tennis, chinese_few"
30044|"FunTech"|"1a The Colonnade, High Street"|"UK"|"Maidenhead"|"Berkshire"|"SL6 1QL"|"44 16 2862 1215"|""|"https://funtechsummercamps.com/"|"info@funtech.co.uk"|"Co-Ed"|""|""|""|0|0|"7-18"|"20170516103230"|"AA00065"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
515|"Study Links Guardianship"|"6 Carr Lane, Low Moor"|"UK"|"Bradford"|"West Yorkshire"|"BD12 0QS"|"44 12 7467 0784 / 7467 9710"|"44 12 7460 3029 / 7467 0052"|"www.studylinks.co.uk"|"hello@studylinks.co.uk"|"Co-Ed"|""|""|""|0|0|""|"20180416124453"|"AA00007"|"[6Jan15] From 5 Jan 2015, the email account info@studylinks.co.uk is no longer in use.

[4May13] online application form for Standard & Full guardianship services:
http://studylinksdb.co.uk/OnlineForm/studentRegistration.aspx?"|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30072|"Westminster Under School"|"Little Dean's Yard"|"United Kingdom"|"London"|"London"|"SW1P 3PF"|"44 020 7821 5788"|""|"www.westminsterunder.org.uk"|"penny.keeley@westminster.org.uk"|"Boys"|""|""|""|279|0|"Day (7-13)"|"20200616172944"|"AA00007"|"Westminster School (SCID:582) is the senior school of Westminster Under School.
School does not support any application for children who need visas to study in the UK under the age of 16."|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
315|"Belmont Mill Hill Preparatory School"|"The Ridgeway, Mill Hill Village"|"UK"|"London"|"London & Greater London"|"NW7 4ED"|""|""|"www.millhill.org.uk/prep/"|""|"Co-Ed"|"Independent School 1"|"Prep_S"|""|568|0|"Day (7-13)"|"20241206152558"|"AA00107"|"20200218: Belmont Mill Hill Preparatory School is the preparatory school that linked with Mill Hill School (SCID:316), Mill Hill Pre-Prep - Grimsdell, and The Mount, Mill Hill International (SCID:30022)."|0|0|17|"Y"|"Y"|"N"|""|"***********************"|""
30149|"Queen Elizabeth's Hospital"|"Berkeley Place,"|"UK"|"Clifton"|"Bristol"|"BS8 1JX"|"+44 (0)117 930 3040"|""|"http://www.qehbristol.co.uk/"|"office@qehbristol.co.uk"|"Boys (6G)"|"Independent School"|""|""|776|0|"Day (7-18)"|"20221104103831"|"AA00078"|"QEH Junior School Address:
Upper Berkeley Place
Clifton, Bristol BS8 1JS

+44 (0)117 930 3087
juniors@qehbristol.co.uk"|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30094|"Bolton School Boys' Division"|"Boys’ Division, Chorley New Road"|"UK"|"Bolton"|"Bolton"|"BL1 4PA"|"44 01204 840201"|""|"https://www.boltonschool.org/"|"info@boltonschool.org"|"Boys"|""|""|""|1123|0|"Day (7-18)"|"20210304161340"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30042|"Pippa's Guardians"|"5 Grosvernor House,127 Church St"|"UK"|"Malvern"|"Worcestershire"|"WR14 2BA"|"+44 (0)1684 252757"|""|"www.pippasguardians.co.uk"|"info@pippasguardians.co.uk"|"Co-Ed"|""|""|""|0|0|""|"20170218114138"|"AA00065"|"Emergency: +44 77 2137 2865"|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30142|"The Manchester Grammar School"|"Old Hall Lane"|"UK"|"Manchester"|"Greater Manchester"|"M13 0XT"|"+44 (0)161 224 7201"|""|"https://www.mgs.org/"|"general@mgs.org"|"Boys"|"Independent School"|""|""|1640|0|"Day (7-18)"|"20220111145304"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30148|"Lady Eleanor Holles School"|"Hanworth Road"|"UK"|"Hampton"|"Hampton"|"TW12 3HF"|"+44 (0)20 8979 1601"|""|"https://www.lehs.org.uk/"|"office@lehs.org.uk"|"Girls"|"Independent School"|""|""|977|0|"Day (7-18)"|"20230406002249"|"AA00007"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30125|"Latymer Upper School"|"King Street"|"UK"|"Hammersmith"|"London"|"W6 9LR"|"44 020 8629 2024"|""|"http://www.latymer-upper.org/"|"head@latymer-upper.org"|"Co-Ed"|"Independent School"|""|""|1430|0|"Day (7-18)"|"20211026101213"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30036|"Magdalen College School"|"Cowley Place"|"UK"|"Oxford"|"Oxfordshire"|"OX4 1DZ"|"44 18 6524 2191"|"44 18 6524 0379"|"https://www.mcsoxford.org/"|"enquiries@mcsoxford.org"|"Boys (6G)"|"Independent School 1"|"All"|"Church of England"|957|0|"Day (7-18)"|"20241210152734"|"AA00107"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30126|"St Helen and St Katharine"|"Faringdon Road"|"UK"|"Abingdon"|"Oxfordshire"|"OX14 1BE"|"+44 (0)1235 520173"|""|"https://shsk.org.uk/home.aspx#"|"info@shsk.org.uk"|"Girls"|"Independent School"|""|""|713|0|"Day (9-18)"|"20211110182334"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30093|"University College School"|"Frognal"|"UK"|"Hampstead"|"London"|"NW3 6XH"|"44 020 7435 2215"|""|"www.ucs.org.uk"|"seniorschool@ucs.org.uk"|"Boys (6G Day only)"|""|""|""|903|0|"Day (B:11-18;G:16-18)"|"20210303105841"|"AA00078"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
30212|"King Henry VIII School"|""|"UK"|"UK"|"UK"|""|""|""|""|"henrysadmissions@csfoundation.org.uk"|"Co-Ed"|""|""|""|0|0|""|"20240626175953"|"AA00084"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
