"school_id"|"name"|"address"|"country"|"city"|"county"|"postcode"|"tel"|"fax"|"website"|"email"|"schooltype"|"si"|"sp"|"ra"|"pupilno"|"boarderno"|"boarderage"|"lastupdate"|"staffid"|"remarks"|"lat"|"lng"|"childvisaage"|"case"|"case"|"case"|"loginname"|"loginpassword"|"keyword"
6|"Abacus College"|"Threeways House,  George Street,"|"UK"|"32"|"Oxfordshire"|"OX1 2BJ"|"1865 240111"|"1865 247259"|"www.abacuscollege.co.uk"|""|"Girls"|"Independent School"|"Senior"|""|281|73|"9-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
7|"Abbey College, Malvern"|"253 Wells Road"|"UK"|"45"|"Worcestershire"|"WR14 4JZ"|"1684 892 300"|"1684 892 757"|"www.abbeycollege.co.uk"|"info@abbeycollege.co.uk"|"Co-Ed"|"Independent School"|""|""|150|140|"14-19"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
8|"Abbots Bromley School for Girls"|"Abbots Bromley"|"UK"|"37"|"Staffordshire"|"WS15 3BW"|"1283 840232"|"1283 840988"|"www.abbotsbromley.staffs.sch.uk"|""|"Girls"|"Independent School"|"Senior"|"Church of England"|254|67|"8-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
9|"Abbotsholme School"|"Roceste"|"UK"|"37"|"Staffordshire"|"ST14 5BS"|"1889 590217 (General enquiry)"|"1889 591001 (General enquiry)"|"www.abbotsholme.com"|""|"Co-Ed"|"Independent School"|"Senior"|"Inter denominational"|328|141|"11-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
10|"Abingdon School"|"Park Road"|"UK"|"32"|"Oxfordshire"|"OX14 1DE"|"1235 521563"|"1235 849079"|"www.abingdon.org.uk"|""|"Boys"|"Independent School"|"Senior"|"Church of England"|1118|106|"13-19"|"20120806190148"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
11|"Ackworth School"|"Barnsley Road, Ackworth"|"UK"|"49"|"West Yorkshire"|"WF7 7LT"|"1977 611401"|"1977 616225"|"www.ackworthschool.com"|"admissions@ackworthschool.com"|"Co-Ed"|"Independent School"|"Senior"|"Quaker"|536|94|"11-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
12|"Adams' Grammar School"|"High Street"|"UK"|"34"|"Shropshire"|"TF10 7BD"|"1952 386300"|"1952 386301"|"www.adamsgs.org.uk"|""|"Co-Ed"|"Stabis School"|""|""|790|100|""|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
13|"Aldro School"|"Lombard Street"|"UK"|"39"|"Surrey"|"GU8 6AS"|"1483 810266"|"1483 409010"|"www.aldro.org"|""|"Boys"|"Independent School"|"Prep"|"Church of England"|222|34|"8-12"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
14|"Alexander's International School"|"Bawdsey Manor"|"UK"|"38"|"Suffolk"|"IP12 3AZ"|"1394 411 633"|"1394 411 357"|"www.alexandersschool.com"|""|"Co-Ed"|"Independent School"|""|""|80|80|""|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
15|"Ardingly College"|""|"UK"|"41"|"West Sussex"|"RH17 6SQ"|"1444 893000"|"1444 893001"|"www.ardingly.com"|""|"Co-Ed"|"Independent School"|"Senior"|"Church of England"|521|260|"13-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
16|"Ardingly College"|"West Sussex"|"UK"|"41"|"West Sussex"|"RH17 6SQ"|"1444 893000"|"1444 893001"|"www.ardingly.com"|""|"Co-Ed"|"Independent School"|"Senior"|"Church of England"|521|260|"13-18"|"20121207151736"|"AA00032"|"Football; 
SPONSOR LICENCE NUMBER JAGW7VWX9"|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
17|"Arnold Lodge School"|"15-17 Kenilworth Road"|"England"|"42"|"Warwickshire"|"CV32 5TW"|"1926 778 050"|"1926 743 311"|"www.arnoldlodge.com"|"info@arnoldlodge.com"|"Co-Ed"|"Independent School"|"All"|""|0|0|""|"20120806190152"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
18|"Ashville College"|"Green Lane"|"UK"|"47"|"North Yorkshire"|"HG2 9JP"|""|""|"www.ashville.co.uk"|""|"Co-Ed"|"Independent School"|"All"|"Methodist"|762|120|"9-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
19|"Bath Academy"|"27 Queen Square"|"UK"|"1"|"Bath & NE Somerset"|"BA1 2HX"|"1225334577"|"1225482414"|"www.bathacademy.co.uk "|""|""|""|""|""|143|143|"16-20"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
20|"Bedford High School"|"Bromham Road"|"UK"|"2"|"Bedfordshire"|"MK40 2BS"|"1234 334205"|"1234 217118"|"www.bedfordhigh.co.uk"|""|"Girls"|"Independent School"|"All"|"Non denominational"|676|127|"9-19"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
21|"Bedford Preparatory School"|"De Pary's Avenue"|"UK"|"2"|"Bedfordshire"|"MK40 2TU"|""|""|"www.bedfordschool.org.uk"|""|"Boys"|"Independent School"|"Prep"|"Church of England"|413|21|"8-12"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
22|"Bedford School"|"De Pary's Avenue"|"UK"|"2"|"Bedfordshire"|"MK40 2TU"|"1234 362 200"|"1234 362 283"|"www.bedfordschool.org.uk"|""|"Boys"|"Independent School"|"Senior"|"Anglican"|1116|204|"7-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
23|"Bedstone College"|"Bedstone"|"UK"|"34"|"Shropshire"|"SY7 0BG"|"1547 530303"|"1547 530740"|"www.bedstone.org"|""|"Co-Ed"|"Independent School"|"All"|"Church of England"|281|107|"6-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
24|"Beechwood Sacred Heart School"|"12 Pembury Road"|"UK"|"22"|"Kent"|"TN2 3QD"|""|""|"www.beechwood.org.uk"|"bsh@beechwood.org.uk"|"Girls"|"Independent School"|"All"|"Roman Catholic"|423|51|"12-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
25|"Beechwood Sacred Heart School"|"12 Pembury Road"|"UK"|"22"|"Kent"|"TN2 3QD"|""|""|"www.beechwood.org.uk"|"bsh@beechwood.org.uk"|"Girls"|"Independent School"|"All"|"Roman Catholic"|423|51|"12-18"|"20121207162031"|"AA00032"|"Following the move to co-ed which began in 2008, BSH has continued to offer boarding places to girls only. We cannot at present extend this to boys, but we can accept applications from boys for Sixth Form as day pupils whilst living with local host families. (16/3/2010)"|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
3709|"FunTech Summer"|"High Street, Maidenhead"|"UK"|"Berkshire"|"Berkshire"|"SL6 1QL"|"44 16 2862 1215"|""|""|""|"Co-Ed"|""|""|""|0|0|""|"20170516102654"|"AA00065"|""|0|0|17|"N"|"Y"|"N"|""|"***********************"|""
26|"Bellerbys College"|"1 Billinton Way Brighton"|"UK"|"40"|"East Sussex"|"BN1 4LF"|"1273 339300"|"1273 339398"|"www.bellerbys.com"|""|"Co-Ed"|"Independent College"|""|""|0|0|""|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
27|"Berkhamsted School"|"Castle Street"|"UK"|"19"|"Hertfordshire"|"HP4  2BB"|""|""|"www.berkhamstedschool.org"|"enquiries@berkhamstedschool.org"|"Co-Ed"|"Independent School"|"All"|"Church of England"|1063|42|"16-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
28|"Bethany School"|"Goudhurst"|"UK"|"22"|"Kent"|"TN17 1LB"|"1580 211 273"|"1580 211 151"|"www.bethanyschool.org.uk"|""|"Co-Ed"|"Independent School"|"Senior"|"Christian"|390|71|"11-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
29|"Blundell's School"|""|"UK"|"11"|"Devon"|"EX16 4DN"|"1884 252543"|"1884 243232"|"www.blundells.org"|""|"Co-Ed"|"Independent School"|"Senior"|"Christian"|576|206|"11-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
30|"Bolitho School"|"Polwithen"|"UK"|"8"|"Cornwall"|"TR18 4JR"|"1736 363271"|"1736 330960"|"www.bolitho.cornwall.sch.uk"|"enquiries@bolitho.cornwall.sch.uk"|"Co-Ed"|"Independent School"|"All"|"Church of England"|378|84|"7-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
31|"Bosworth Independent College"|"Nazareth House, Barrack Road"|"UK"|"29"|"Northamptonshire"|"NN2 6AF"|""|""|"www.bosworthcollege.com"|""|"Co-Ed"|"Independent College"|""|"Non denominational"|316|247|"14-19"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
32|"Box Hill School"|"Mickleham"|"UK"|"39"|"Surrey"|"RH5 6EA"|"1372 373382"|"1372 363942"|"www.boxhillschool.com"|"enquiries@boxhillschool.org.uk"|"Co-Ed"|"Independent School"|"Senior"|"Non denominational"|427|130|"11-19"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
33|"Bradfield College"|"Bradfield"|"UK"|"3"|"Berkshire"|"RG7 6AR"|"118 964 4500 (reception)"|""|"www.bradfieldcollege.org.uk"|""|"Co-Ed"|"Independent School"|"Senior"|"Church of England"|722|608|"12-19"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
34|"Brighton College"|"Eastern Road"|"UK"|"40"|"East Sussex"|"BN2 0AL"|"1273 704 202"|"1273704 204"|"www.brightoncollege.net"|""|"Co-Ed"|"Independent School"|"Senior"|"Church of England"|834|220|"13-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
35|"Brockenhurst College"|"Lyndhurst Road"|"UK"|"17"|"Hampshire"|"SO42 7ZE"|"01590 625 555"|""|"www.brock.ac.uk"|"international@brock.ac.uk"|"Co-Ed"|"Sixth Form College - Government"|""|""|0|0|"Host family"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
36|"Bromsgrove School"|"Worcester Rd"|"UK"|"45"|"Worcestershire"|"B61 7DU"|"1527 579 679"|"1527 576 177"|"www.bromsgrove-school.co.uk"|"enquiries@bromsgrove-school.co.uk"|"Co-Ed"|"Independent School"|"Senior"|"Church of England"|870|376|"13-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
37|"Bruton School For Girls"|"Sunny Hill"|"UK"|"35"|"Somerset"|"BA10 0NT"|""|""|"www.brutonschool.co.uk"|""|"Girls"|"Independent School"|"All"|"Church of England"|316|101|"8-19"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
38|"Buckswood School"|""|"UK"|"40"|"East Sussex"|"TN22 3PT"|""|""|"www.buckswood.co.uk"|""|"Co-Ed"|"Independent School"|"Senior"|""|350|200|"10-19"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
39|"Burford School"|"Cheltenham Road"|"UK"|"32"|"Oxfordshire"|"OX18 4PL"|""|""|"www.burford.oxon.sch.uk"|""|"Co-Ed"|"Stabis School"|"All"|""|1040|90|"11-19"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
40|"Burgess Hill School For Girls"|"Keymer Road"|"UK"|"41"|"West Sussex"|"RH15 0EG"|"1444 241050"|"1444 870314"|"www.burgesshill-school.com"|""|"Girls"|"Independent School"|"Senior"|"Non denominational"|651|53|"13-19"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
41|"Camberwell College of Arts"|"International Development Office, University of the Arts London, 65 Davies Street"|"UK"|"26"|"London & Greater London"|"W1K 5DA"|""|""|"www.camblinst.ac.uk"|""|"Co-Ed"|""|""|""|0|0|""|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
42|"Cambridge Education Group"|"4th Floor, Kett House, Station Road"|"UK"|"6"|"Cambridgeshire"|"CB1 2JH"|""|""|"www.ceg-uk.com/"|""|"Co-Ed"|""|""|""|205|205|"15-19"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
43|"Canford School"|""|"UK"|"12"|"Dorset"|"BH21 3AD"|"1202 841254"|"1202 881009"|"www.canford.com"|""|"Co-Ed"|"Independent School"|"Senior"|"Church of England"|636|426|"13-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
44|"Cardiff Sixth Form College"|"97-99 Newport Road"|""|"0"|"Dorset"|"CF24 0AF"|""|""|"www.ccoex.com/"|""|"Co-Ed"|"Independent College"|""|"Non denominational"|146|112|"15-19"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
45|"Cardiff Sixth Form College"|"97-99 Newport Road"|"UK"|"0"|"Dorset"|"CF24 0AF"|""|""|"www.ccoex.com/"|""|"Co-Ed"|"Independent College"|""|"Non denominational"|146|112|"15-19"|"20121211110604"|"AA00032"|"Fee: GBP 27000/ year, students are asked to pay in two installments, first in 1st week of August, second in Feb. AS Results will not provide to students who have not paid the 1st installment of the second year. [29 Oct 2012]
 Please be awared that a change in term date has been found in School Website, details listed under supplementary info section [10 March 2012]
 Sept 2012 Entry: the induction will commence on the 28th August [10 Jan 2012] 
The College has arranged for the police to attend on our Induction Day to sort out all students police registration [31 Aug 2012]
 HTS"|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
46|"Charterhouse"|"Godalming"|"UK"|"39"|"Surrey"|"GU7 2DX"|"1483 291 501"|"1483 291 507"|"www.charterhouse.org.uk"|"admissions@charterhouse.org.uk"|"Boys (6G)"|"Independent School"|"Senior"|"Church of England"|742|719|"13-18"|"20120806190149"|""|""|0|0|18|"Y"|"Y"|"Y"|""|"***********************"|""
